"","fixed acidity","volatile acidity","citric acid","residual sugar","chlorides","free sulfur dioxide","total sulfur dioxide","density","pH","sulphates","alcohol","quality"
"616",6.4,0.57,0.02,1.8,0.067,4,11,0.997,3.46,0.68,9.5,5
"617",8,0.83,0.27,2,0.08,11,63,0.99652,3.29,0.48,9.8,4
"618",9.2,0.54,0.31,2.3,0.112,11,38,0.99699,3.24,0.56,10.9,5
"619",7,0.36,0.21,2.4,0.086,24,69,0.99556,3.4,0.53,10.1,6
"620",10.6,0.48,0.64,2.2,0.111,6,20,0.997,3.26,0.66,11.7,6
"621",8.5,0.37,0.32,1.8,0.066,26,51,0.99456,3.38,0.72,11.8,6
"622",9,0.36,0.52,2.1,0.111,5,10,0.99568,3.31,0.62,11.3,6
"623",9.1,0.4,0.5,1.8,0.071,7,16,0.99462,3.21,0.69,12.5,8
"624",8.8,0.61,0.14,2.4,0.067,10,42,0.9969,3.19,0.59,9.5,5
"625",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
"626",7.4,0.66,0,1.8,0.075,13,40,0.9978,3.51,0.56,9.4,5
"627",7.2,0.38,0.31,2,0.056,15,29,0.99472,3.23,0.76,11.3,8
"628",7.4,0.36,0.34,1.8,0.075,18,38,0.9933,3.38,0.88,13.6,7
"629",7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,6
"630",10.7,0.4,0.37,1.9,0.081,17,29,0.99674,3.12,0.65,11.2,6
"631",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
"632",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
"633",7,0.975,0.04,2,0.087,12,67,0.99565,3.35,0.6,9.4,4
"634",8.9,0.745,0.18,2.5,0.077,15,48,0.99739,3.2,0.47,9.7,6
"635",6.1,0.32,0.25,2.3,0.071,23,58,0.99633,3.42,0.97,10.6,5
"636",6.6,0.96,0,1.8,0.082,5,16,0.9936,3.5,0.44,11.9,6
"637",12.7,0.6,0.65,2.3,0.063,6,25,0.9997,3.03,0.57,9.9,5
"638",7.7,0.965,0.1,2.1,0.112,11,22,0.9963,3.26,0.5,9.5,5
"639",8.3,0.33,0.42,2.3,0.07,9,20,0.99426,3.38,0.77,12.7,7
"640",6.8,0.91,0.06,2,0.06,4,11,0.99592,3.53,0.64,10.9,4
"641",10.2,0.42,0.57,3.4,0.07,4,10,0.9971,3.04,0.63,9.6,5
"642",11.1,0.39,0.54,2.7,0.095,21,101,1.0001,3.13,0.51,9.5,5
"643",10.9,0.37,0.58,4,0.071,17,65,0.99935,3.22,0.78,10.1,5
"644",11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,6
"645",7.3,0.98,0.05,2.1,0.061,20,49,0.99705,3.31,0.55,9.7,3
"646",7.4,0.63,0.07,2.4,0.09,11,37,0.9979,3.43,0.76,9.7,6
"647",9.5,0.56,0.33,2.4,0.089,35,67,0.9972,3.28,0.73,11.8,7
"648",9.6,0.68,0.24,2.2,0.087,5,28,0.9988,3.14,0.6,10.2,5
"649",8.4,1.035,0.15,6,0.073,11,54,0.999,3.37,0.49,9.9,5
"650",10.1,0.28,0.46,1.8,0.05,5,13,0.9974,3.04,0.79,10.2,6
"651",7,0.42,0.19,2.3,0.071,18,36,0.99476,3.39,0.56,10.9,5
"652",15.5,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,5
"653",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
"654",7.6,0.35,0.6,2.6,0.073,23,44,0.99656,3.38,0.79,11.1,6
"655",9,0.45,0.49,2.6,0.084,21,75,0.9987,3.35,0.57,9.7,5
"656",7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,5
"657",7.8,0.39,0.42,2,0.086,9,21,0.99526,3.39,0.66,11.6,6
"658",8.9,0.59,0.39,2.3,0.095,5,22,0.9986,3.37,0.58,10.3,5
"659",5.1,0.51,0.18,2.1,0.042,16,101,0.9924,3.46,0.87,12.9,7
"660",10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,7
"661",6.4,0.53,0.09,3.9,0.123,14,31,0.9968,3.5,0.67,11,4
"662",6,0.58,0.2,2.4,0.075,15,50,0.99467,3.58,0.67,12.5,6
"663",7.4,0.49,0.27,2.1,0.071,14,25,0.99388,3.35,0.63,12,6
"664",7.2,0.63,0.03,2.2,0.08,17,88,0.99745,3.53,0.58,9.8,6
"665",7.5,0.38,0.48,2.6,0.073,22,84,0.9972,3.32,0.7,9.6,4
"666",10,0.41,0.45,6.2,0.071,6,14,0.99702,3.21,0.49,11.8,7
"667",8.2,0.6,0.17,2.3,0.072,11,73,0.9963,3.2,0.45,9.3,5
"668",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
"669",7,0.58,0.12,1.9,0.091,34,124,0.9956,3.44,0.48,10.5,5
"670",6.8,0.67,0.15,1.8,0.118,13,20,0.9954,3.42,0.67,11.3,6
"671",5.7,1.13,0.09,1.5,0.172,7,19,0.994,3.5,0.48,9.8,4
"672",8.6,0.52,0.38,1.5,0.096,5,18,0.99666,3.2,0.52,9.4,5
"673",7.4,1.185,0,4.25,0.097,5,14,0.9966,3.63,0.54,10.7,3
"674",9,0.82,0.14,2.6,0.089,9,23,0.9984,3.39,0.63,9.8,5
"675",7.7,0.96,0.2,2,0.047,15,60,0.9955,3.36,0.44,10.9,5
"676",6.3,0.51,0.13,2.3,0.076,29,40,0.99574,3.42,0.75,11,6
"677",5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,6
"678",5,0.4,0.5,4.3,0.046,29,80,0.9902,3.49,0.66,13.6,6
"679",6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,5
"680",11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,6
"681",5.1,0.42,0,1.8,0.044,18,88,0.99157,3.68,0.73,13.6,7
"682",7.7,0.41,0.76,1.8,0.611,8,45,0.9968,3.06,1.26,9.4,5
"683",7.2,0.65,0.02,2.3,0.094,5,31,0.9993,3.67,0.8,9.7,5
"684",6.9,0.4,0.14,2.4,0.085,21,40,0.9968,3.43,0.63,9.7,6
"685",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
"686",6,0.33,0.32,12.9,0.054,6,113,0.99572,3.3,0.56,11.5,4
"687",9.4,0.615,0.28,3.2,0.087,18,72,1.0001,3.31,0.53,9.7,5
"688",12.2,0.45,0.49,1.4,0.075,3,6,0.9969,3.13,0.63,10.4,5
"689",11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,5
"690",8.6,0.47,0.27,2.3,0.055,14,28,0.99516,3.18,0.8,11.2,5
"691",7.5,0.71,0,1.6,0.092,22,31,0.99635,3.38,0.58,10,6
"692",7.8,0.6,0.26,2,0.08,31,131,0.99622,3.21,0.52,9.9,5
"693",7,0.78,0.08,2,0.093,10,19,0.9956,3.4,0.47,10,5
"694",7.9,0.18,0.4,2.2,0.049,38,67,0.996,3.33,0.93,11.3,5
"695",9,0.53,0.49,1.9,0.171,6,25,0.9975,3.27,0.61,9.4,6
"696",5.6,0.915,0,2.1,0.041,17,78,0.99346,3.68,0.73,11.4,5
"697",9.8,0.34,0.39,1.4,0.066,3,7,0.9947,3.19,0.55,11.4,7
"698",7.1,0.68,0,2.3,0.087,17,26,0.99783,3.45,0.53,9.5,5
"699",6.2,0.6,0.08,2,0.09,32,44,0.9949,3.45,0.58,10.5,5
"700",8.2,0.34,0.38,2.5,0.08,12,57,0.9978,3.3,0.47,9,6
"701",9,0.58,0.25,2.8,0.075,9,104,0.99779,3.23,0.57,9.7,5
"702",7.2,0.415,0.36,2,0.081,13,45,0.9972,3.48,0.64,9.2,5
"703",7.8,0.52,0.25,1.9,0.081,14,38,0.9984,3.43,0.65,9,6
"704",6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,6
"705",8.4,0.56,0.08,2.1,0.105,16,44,0.9958,3.13,0.52,11,5
"706",11.9,0.39,0.69,2.8,0.095,17,35,0.9994,3.1,0.61,10.8,6
"707",8,0.715,0.22,2.3,0.075,13,81,0.99688,3.24,0.54,9.5,6
"708",7.8,0.815,0.01,2.6,0.074,48,90,0.99621,3.38,0.62,10.8,5
"709",10,0.26,0.54,1.9,0.083,42,74,0.99451,2.98,0.63,11.8,8
"710",8.1,0.53,0.22,2.2,0.078,33,89,0.99678,3.26,0.46,9.6,6
"711",9.6,0.6,0.5,2.3,0.079,28,71,0.9997,3.5,0.57,9.7,5
"712",7.4,0.53,0.12,1.9,0.165,4,12,0.99702,3.26,0.86,9.2,5
"713",9,0.8,0.12,2.4,0.083,8,28,0.99836,3.33,0.65,10.4,6
"714",9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,5
"715",11.9,0.57,0.5,2.6,0.082,6,32,1.0006,3.12,0.78,10.7,6
"716",7.5,0.49,0.2,2.6,0.332,8,14,0.9968,3.21,0.9,10.5,6
"717",10.2,0.645,0.36,1.8,0.053,5,14,0.9982,3.17,0.42,10,6
"718",8.6,0.38,0.36,3,0.081,30,119,0.997,3.2,0.56,9.4,5
"719",8.5,0.34,0.44,1.7,0.079,6,12,0.99605,3.52,0.63,10.7,5
"720",7.8,0.645,0,5.5,0.086,5,18,0.9986,3.4,0.55,9.6,6
"721",7.5,0.63,0.27,2,0.083,17,91,0.99616,3.26,0.58,9.8,6
"722",9.1,0.5,0.3,1.9,0.065,8,17,0.99774,3.32,0.71,10.5,6
"723",10.7,0.9,0.34,6.6,0.112,23,99,1.00289,3.22,0.68,9.3,5
"724",8.3,0.6,0.13,2.6,0.085,6,24,0.9984,3.31,0.59,9.2,6
"725",6.8,0.815,0,1.2,0.267,16,29,0.99471,3.32,0.51,9.8,3
"726",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
"727",8,0.62,0.35,2.8,0.086,28,52,0.997,3.31,0.62,10.8,5
"728",9.4,0.395,0.46,4.6,0.094,3,10,0.99639,3.27,0.64,12.2,7
"729",7,0.57,0,2,0.19,12,45,0.99676,3.31,0.6,9.4,6
"730",7.3,0.55,0.01,1.8,0.093,9,15,0.99514,3.35,0.58,11,7
"731",9.6,0.56,0.23,3.4,0.102,37,92,0.9996,3.3,0.65,10.1,5
"732",6.4,0.37,0.25,1.9,0.074,21,49,0.9974,3.57,0.62,9.8,6
"733",8.3,0.66,0.15,1.9,0.079,17,42,0.9972,3.31,0.54,9.6,6
"734",10.4,0.64,0.24,2.8,0.105,29,53,0.9998,3.24,0.67,9.9,5
"735",9.9,0.5,0.5,13.8,0.205,48,82,1.00242,3.16,0.75,8.8,5
"736",8.8,0.61,0.19,4,0.094,30,69,0.99787,3.22,0.5,10,6
"737",10.4,0.61,0.49,2.1,0.2,5,16,0.9994,3.16,0.63,8.4,3
"738",7.3,0.4,0.3,1.7,0.08,33,79,0.9969,3.41,0.65,9.5,6
"739",9,0.66,0.17,3,0.077,5,13,0.9976,3.29,0.55,10.4,5
"740",13.3,0.43,0.58,1.9,0.07,15,40,1.0004,3.06,0.49,9,5
"741",9.4,0.24,0.33,2.3,0.061,52,73,0.99786,3.47,0.9,10.2,6
"742",10,0.43,0.33,2.7,0.095,28,89,0.9984,3.22,0.68,10,5
"743",10.9,0.53,0.49,4.6,0.118,10,17,1.0002,3.07,0.56,11.7,6
"744",8.5,0.44,0.5,1.9,0.369,15,38,0.99634,3.01,1.1,9.4,5
"745",9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,5
"746",6.6,0.735,0.02,7.9,0.122,68,124,0.9994,3.47,0.53,9.9,5
"747",7.4,0.62,0.05,1.9,0.068,24,42,0.9961,3.42,0.57,11.5,6
"748",10.3,0.32,0.45,6.4,0.073,5,13,0.9976,3.23,0.82,12.6,8
"749",11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,5
"750",6.2,0.36,0.24,2.2,0.095,19,42,0.9946,3.57,0.57,11.7,6
"751",7.4,0.37,0.43,2.6,0.082,18,82,0.99708,3.33,0.68,9.7,6
"752",7.9,0.545,0.06,4,0.087,27,61,0.9965,3.36,0.67,10.7,6
"753",7.2,0.54,0.27,2.6,0.084,12,78,0.9964,3.39,0.71,11,5
"754",8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,6
"755",7.5,0.705,0.24,1.8,0.36,15,63,0.9964,3,1.59,9.5,5
"756",8.2,0.73,0.21,1.7,0.074,5,13,0.9968,3.2,0.52,9.5,5
"757",9,0.38,0.41,2.4,0.103,6,10,0.99604,3.13,0.58,11.9,7
"758",7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,6
"759",10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,5
"760",5.1,0.47,0.02,1.3,0.034,18,44,0.9921,3.9,0.62,12.8,6
"761",7.7,0.56,0.2,2,0.075,9,39,0.9987,3.48,0.62,9.3,5
"762",9.4,0.3,0.56,2.8,0.08,6,17,0.9964,3.15,0.92,11.7,8
"763",7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,6
"764",6.2,0.46,0.17,1.6,0.073,7,11,0.99425,3.61,0.54,11.4,5
"765",7.7,0.18,0.34,2.7,0.066,15,58,0.9947,3.37,0.78,11.8,6
"766",7.4,0.41,0.24,1.8,0.066,18,47,0.9956,3.37,0.62,10.4,5
"767",5.6,0.85,0.05,1.4,0.045,12,88,0.9924,3.56,0.82,12.9,8
"768",7.6,0.46,0.11,2.6,0.079,12,49,0.9968,3.21,0.57,10,5
"769",9.1,0.45,0.35,2.4,0.08,23,78,0.9987,3.38,0.62,9.5,5
"770",7.2,0.52,0.07,1.4,0.074,5,20,0.9973,3.32,0.81,9.6,6
"771",7.1,0.43,0.17,1.8,0.082,27,51,0.99634,3.49,0.64,10.4,5
"772",7.2,0.66,0.33,2.5,0.068,34,102,0.99414,3.27,0.78,12.8,6
"773",7.9,0.765,0,2,0.084,9,22,0.99619,3.33,0.68,10.9,6
"774",8.9,0.35,0.4,3.6,0.11,12,24,0.99549,3.23,0.7,12,7
"775",7.7,0.49,0.26,1.9,0.062,9,31,0.9966,3.39,0.64,9.6,5
"776",9.1,0.775,0.22,2.2,0.079,12,48,0.9976,3.18,0.51,9.6,5
"777",7.5,0.43,0.3,2.2,0.062,6,12,0.99495,3.44,0.72,11.5,7
"778",7,0.655,0.16,2.1,0.074,8,25,0.99606,3.37,0.55,9.7,5
"779",7.4,0.5,0.47,2,0.086,21,73,0.997,3.36,0.57,9.1,5
"780",7.5,0.38,0.57,2.3,0.106,5,12,0.99605,3.36,0.55,11.4,6
"781",8.3,0.705,0.12,2.6,0.092,12,28,0.9994,3.51,0.72,10,5
"782",10.4,0.44,0.42,1.5,0.145,34,48,0.99832,3.38,0.86,9.9,3
"783",7.5,0.58,0.03,4.1,0.08,27,46,0.99592,3.02,0.47,9.2,5
"784",6.6,0.705,0.07,1.6,0.076,6,15,0.9962,3.44,0.58,10.7,5
"785",6.7,0.48,0.02,2.2,0.08,36,111,0.99524,3.1,0.53,9.7,5
"786",7.4,0.965,0,2.2,0.088,16,32,0.99756,3.58,0.67,10.2,5
"787",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
"788",10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,6
"789",8.9,0.32,0.31,2,0.088,12,19,0.9957,3.17,0.55,10.4,6
"790",7.8,0.57,0.09,2.3,0.065,34,45,0.99417,3.46,0.74,12.7,8
"791",10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,5
"792",7.1,0.46,0.2,1.9,0.077,28,54,0.9956,3.37,0.64,10.4,6
"793",7.2,0.37,0.32,2,0.062,15,28,0.9947,3.23,0.73,11.3,7
"794",5.4,0.42,0.27,2,0.092,23,55,0.99471,3.78,0.64,12.3,7
"795",6.5,0.63,0.33,1.8,0.059,16,28,0.99531,3.36,0.64,10.1,6
"796",12.5,0.37,0.55,2.6,0.083,25,68,0.9995,3.15,0.82,10.4,6
"797",9.2,0.63,0.21,2.7,0.097,29,65,0.9988,3.28,0.58,9.6,5
"798",6.6,0.855,0.02,2.4,0.062,15,23,0.99627,3.54,0.6,11,6
"799",10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,6
"800",8.1,1.33,0,1.8,0.082,3,12,0.9964,3.54,0.48,10.9,5
"801",7.3,0.67,0.02,2.2,0.072,31,92,0.99566,3.32,0.68,11.1,6
"802",8.2,0.42,0.49,2.6,0.084,32,55,0.9988,3.34,0.75,8.7,6
"803",8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,5
"804",7.9,0.54,0.34,2.5,0.076,8,17,0.99235,3.2,0.72,13.1,8
"805",10.4,0.24,0.46,1.8,0.075,6,21,0.9976,3.25,1.02,10.8,7
"806",11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.03333333,6
"807",8.8,0.6,0.29,2.2,0.098,5,15,0.9988,3.36,0.49,9.1,5
"808",7.1,0.63,0.06,2,0.083,8,29,0.99855,3.67,0.73,9.6,5
"809",10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,7
"810",8,0.59,0.05,2,0.089,12,32,0.99735,3.36,0.61,10,5
"811",10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,7
"812",7,0.62,0.08,1.8,0.076,8,24,0.9978,3.48,0.53,9,5
"813",10.1,0.65,0.37,5.1,0.11,11,65,1.0026,3.32,0.64,10.4,6
"814",8,0.6,0.22,2.1,0.08,25,105,0.99613,3.3,0.49,9.9,5
"815",6.1,0.21,0.4,1.4,0.066,40.5,165,0.9912,3.25,0.59,11.9,6
"816",6.7,0.46,0.24,1.7,0.077,18,34,0.9948,3.39,0.6,10.6,6
"817",6.5,0.52,0.11,1.8,0.073,13,38,0.9955,3.34,0.52,9.3,5
"818",8.8,0.52,0.34,2.7,0.087,24,122,0.9982,3.26,0.61,9.5,5
"819",7.5,0.51,0.02,1.7,0.084,13,31,0.99538,3.36,0.54,10.5,6
"820",11.2,0.28,0.56,1.9,0.075,17,60,0.998,3.16,0.58,9.8,6
"821",9.1,0.36,0.39,1.8,0.06,21,55,0.99495,3.18,0.82,11,7
"822",6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,5
"823",5.4,0.74,0,1.2,0.041,16,46,0.99258,4.01,0.59,12.5,6
"824",8.3,0.53,0,1.4,0.07,6,14,0.99593,3.25,0.64,10,6
"825",8.3,0.26,0.42,2,0.08,11,27,0.9974,3.21,0.8,9.4,6
"826",10.6,0.36,0.59,2.2,0.152,6,18,0.9986,3.04,1.05,9.4,5
"827",7.2,0.63,0,1.9,0.097,14,38,0.99675,3.37,0.58,9,6
"828",7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,4
"829",8.7,0.52,0.09,2.5,0.091,20,49,0.9976,3.34,0.86,10.6,7
"830",7.4,0.64,0.17,5.4,0.168,52,98,0.99736,3.28,0.5,9.5,5
"831",7.6,0.645,0.03,1.9,0.086,14,57,0.9969,3.37,0.46,10.3,5
"832",9.6,0.42,0.35,2.1,0.083,17,38,0.99622,3.23,0.66,11.1,6
"833",6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,6
"834",9.4,0.34,0.37,2.2,0.075,5,13,0.998,3.22,0.62,9.2,5
"835",7.8,0.5,0.12,1.8,0.178,6,21,0.996,3.28,0.87,9.8,6
"836",9.9,0.74,0.28,2.6,0.078,21,77,0.998,3.28,0.51,9.8,5
"837",10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,6
"838",8.1,0.78,0.23,2.6,0.059,5,15,0.997,3.37,0.56,11.3,5
"839",10.4,0.26,0.48,1.9,0.066,6,10,0.99724,3.33,0.87,10.9,6
"840",7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,7
"841",11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,6
"842",6.4,0.39,0.33,3.3,0.046,12,53,0.99294,3.36,0.62,12.2,6
"843",6.7,1.04,0.08,2.3,0.067,19,32,0.99648,3.52,0.57,11,4
"844",9.8,0.5,0.34,2.3,0.094,10,45,0.99864,3.24,0.6,9.7,7
"845",7.5,0.52,0.42,2.3,0.087,8,38,0.9972,3.58,0.61,10.5,6
"846",7.8,0.7,0.06,1.9,0.079,20,35,0.99628,3.4,0.69,10.9,5
"847",8.8,0.55,0.04,2.2,0.119,14,56,0.9962,3.21,0.6,10.9,6
"848",7.2,0.645,0,1.9,0.097,15,39,0.99675,3.37,0.58,9.2,6
"849",8.7,0.29,0.52,1.6,0.113,12,37,0.9969,3.25,0.58,9.5,5
"850",5.6,0.31,0.37,1.4,0.074,12,96,0.9954,3.32,0.58,9.2,5
"851",6.7,0.75,0.12,2,0.086,12,80,0.9958,3.38,0.52,10.1,5
"852",8.5,0.34,0.4,4.7,0.055,3,9,0.99738,3.38,0.66,11.6,7
"853",9.6,0.56,0.31,2.8,0.089,15,46,0.9979,3.11,0.92,10,6
"854",12,0.39,0.66,3,0.093,12,30,0.9996,3.18,0.63,10.8,7
"855",6.9,0.63,0.02,1.9,0.078,18,30,0.99712,3.4,0.75,9.8,5
"856",12.4,0.49,0.58,3,0.103,28,99,1.0008,3.16,1,11.5,6
"857",12.1,0.4,0.52,2,0.092,15,54,1,3.03,0.66,10.2,5
"858",7.1,0.52,0.03,2.6,0.076,21,92,0.99745,3.5,0.6,9.8,5
"859",7.9,0.69,0.21,2.1,0.08,33,141,0.9962,3.25,0.51,9.9,5
"860",7.5,0.725,0.04,1.5,0.076,8,15,0.99508,3.26,0.53,9.6,5
"861",8.8,0.31,0.4,2.8,0.109,7,16,0.99614,3.31,0.79,11.8,7
"862",5,0.38,0.01,1.6,0.048,26,60,0.99084,3.7,0.75,14,6
"863",6.6,0.725,0.09,5.5,0.117,9,17,0.99655,3.35,0.49,10.8,6
"864",6.8,0.61,0.2,1.8,0.077,11,65,0.9971,3.54,0.58,9.3,5
"865",8.3,0.675,0.26,2.1,0.084,11,43,0.9976,3.31,0.53,9.2,4
"866",7.9,0.2,0.35,1.7,0.054,7,15,0.99458,3.32,0.8,11.9,7
"867",10.9,0.39,0.47,1.8,0.118,6,14,0.9982,3.3,0.75,9.8,6
"868",8.4,0.36,0.32,2.2,0.081,32,79,0.9964,3.3,0.72,11,6
"869",9.3,0.43,0.44,1.9,0.085,9,22,0.99708,3.28,0.55,9.5,5
"870",6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,6
"871",7.3,1.07,0.09,1.7,0.178,10,89,0.9962,3.3,0.57,9,5
"872",9.7,0.31,0.47,1.6,0.062,13,33,0.9983,3.27,0.66,10,6
"873",7.5,0.57,0.08,2.6,0.089,14,27,0.99592,3.3,0.59,10.4,6
"874",9.5,0.37,0.52,2,0.082,6,26,0.998,3.18,0.51,9.5,5
"875",10.3,0.43,0.44,2.4,0.214,5,12,0.9994,3.19,0.63,9.5,6
"876",9.5,0.78,0.22,1.9,0.077,6,32,0.9988,3.26,0.56,10.6,6
"877",7.8,0.64,0,1.9,0.072,27,55,0.9962,3.31,0.63,11,5
"878",9.4,0.4,0.47,2.5,0.087,6,20,0.99772,3.15,0.5,10.5,5
"879",6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,6
"880",8.3,0.49,0.36,1.8,0.222,6,16,0.998,3.18,0.6,9.5,6
"881",5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,7
"882",8,0.28,0.44,1.8,0.081,28,68,0.99501,3.36,0.66,11.2,5
"883",6.3,0.55,0.15,1.8,0.077,26,35,0.99314,3.32,0.82,11.6,6
"884",8.1,0.545,0.18,1.9,0.08,13,35,0.9972,3.3,0.59,9,6
"885",9.4,0.33,0.59,2.8,0.079,9,30,0.9976,3.12,0.54,12,6
"886",8.9,0.75,0.14,2.5,0.086,9,30,0.99824,3.34,0.64,10.5,5
"887",10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,6
"888",8.5,0.28,0.35,1.7,0.061,6,15,0.99524,3.3,0.74,11.8,7
"889",8.3,0.655,0.12,2.3,0.083,15,113,0.9966,3.17,0.66,9.8,5
"890",9.1,0.66,0.15,3.2,0.097,9,59,0.99976,3.28,0.54,9.6,5
"891",7.4,0.36,0.29,2.6,0.087,26,72,0.99645,3.39,0.68,11,5
"892",6.9,1.09,0.06,2.1,0.061,12,31,0.9948,3.51,0.43,11.4,4
"893",7.4,0.55,0.19,1.8,0.082,15,34,0.99655,3.49,0.68,10.5,5
"894",7.2,0.25,0.37,2.5,0.063,11,41,0.99439,3.52,0.8,12.4,7
"895",7.6,0.42,0.25,3.9,0.104,28,90,0.99784,3.15,0.57,9.1,5
"896",7.2,0.53,0.13,2,0.058,18,22,0.99573,3.21,0.68,9.9,6
"897",7.1,0.56,0.14,1.6,0.078,7,18,0.99592,3.27,0.62,9.3,5
"898",9.9,0.59,0.07,3.4,0.102,32,71,1.00015,3.31,0.71,9.8,5
"899",9.2,0.46,0.23,2.6,0.091,18,77,0.99922,3.15,0.51,9.4,5
"900",7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,5
"901",6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,5
"902",7.7,0.835,0,2.6,0.081,6,14,0.9975,3.3,0.52,9.3,5
"903",6.8,0.61,0.04,1.5,0.057,5,10,0.99525,3.42,0.6,9.5,5
"904",7.5,0.63,0.12,5.1,0.111,50,110,0.9983,3.26,0.77,9.4,5
"905",9.4,0.5,0.34,3.6,0.082,5,14,0.9987,3.29,0.52,10.7,6
"906",7.2,0.635,0.07,2.6,0.077,16,86,0.99748,3.51,0.54,9.7,5
"907",6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,7
"908",8.9,0.875,0.13,3.45,0.088,4,14,0.9994,3.44,0.52,11.5,5
"909",8.7,0.48,0.3,2.8,0.066,10,28,0.9964,3.33,0.67,11.2,7
"910",8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,5
"911",6.9,0.55,0.15,2.2,0.076,19,40,0.9961,3.41,0.59,10.1,5
"912",8.8,0.24,0.35,1.7,0.055,13,27,0.99394,3.14,0.59,11.3,7
"913",7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,5
"914",8.5,0.47,0.27,1.9,0.058,18,38,0.99518,3.16,0.85,11.1,6
"915",7.9,0.49,0.32,1.9,0.082,17,144,0.9968,3.2,0.55,9.5,5
"916",9.3,0.39,0.4,2.6,0.073,10,26,0.9984,3.34,0.75,10.2,6
"917",8.1,0.66,0.7,2.2,0.098,25,129,0.9972,3.08,0.53,9,5
"918",9.7,0.53,0.6,2,0.039,5,19,0.99585,3.3,0.86,12.4,6
"919",8.7,0.46,0.31,2.5,0.126,24,64,0.99746,3.1,0.74,9.6,5
"920",7.1,0.35,0.29,2.5,0.096,20,53,0.9962,3.42,0.65,11,6
"921",6.8,0.59,0.1,1.7,0.063,34,53,0.9958,3.41,0.67,9.7,5
"922",7.7,0.26,0.26,2,0.052,19,77,0.9951,3.15,0.79,10.9,6
"923",9.6,0.88,0.28,2.4,0.086,30,147,0.9979,3.24,0.53,9.4,5
"924",7.2,0.41,0.3,2.1,0.083,35,72,0.997,3.44,0.52,9.4,5
